title  Photometry data for ATLAS2_551047062 from search centered on HS Hya using the atlas calibration catalog
Median of Right Ascension  156.15356, rms   0.00242
Median of Declination      -19.09218, rms   0.00233
Median of magcal_magdep         8.19, rms      0.28
Median of magcal_local_rms      0.25, rms      0.15
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2416180.715899	1903.178674	 7.95	 0.52	10.69	156.15353	-19.09484	-72.7	0.297	ai00869	200	0	1349453824	329660	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416199.638590	1903.230517	 8.28	 0.77	10.82	156.15320	-19.09241	 76.6	0.127	am01842	193	268435456	1349189632	761455	384	0.000700	28	16,17,19,21,22,28,30	7,8
2416203.627761	1903.241446	 8.19	 0.23	11.38	156.15163	-19.09194	 69.8	0.468	ac03459	190	0	1349451776	59137	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416222.630868	1903.293509	 8.43	 0.32	14.71	156.15289	-19.09193	-77.9	0.256	b31446	185	128	1349454848	482703	593	0.000700	7	10,11,16,17,18,19,21,22,28,30	0,4,6,9
2416223.598173	1903.296159	 8.14	 0.16	12.51	156.15503	-19.09183	 63.0	0.348	ac03513	190	0	1349451776	402246	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416226.565688	1903.304290	 8.19	 0.16	12.00	156.15670	-19.09118	 63.6	0.470	am01869	193	0	1349451776	520017	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416230.629990	1903.315425	 8.14	 0.16	12.76	156.15457	-19.09209	 80.2	0.448	am01885	193	0	1349453824	696077	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416233.604283	1903.323573	 8.63	 0.52	13.77	156.15377	-19.09276	-71.1	0.210	b31562	185	128	1349454848	1279693	593	0.000700	7	10,11,16,17,18,19,21,22,28,30	0,4,6,9
2416239.592316	1903.339979	 8.18	 0.19	13.34	156.15375	-19.09458	 39.1	0.136	am01898	193	0	1349453824	576901	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416241.552080	1903.345348	 8.21	 0.21	11.97	156.15464	-19.09036	 -5.6	0.418	am01913	193	33570816	1349388288	17262	256	0.000700	14,25	11,17,18,19,21,22,28,30	8
2416242.567278	1903.348130	 8.19	 0.15	12.38	156.15365	-19.09334	 71.6	0.099	am01922	193	0	1349454848	349090	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2416251.511519	1903.372634	 8.24	 0.30	12.66	156.15421	-19.09354	 54.9	0.191	am01945	193	0	1349454848	1164583	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2416272.570803	1903.430331	 8.10	 0.18	11.53	156.15421	-19.09211	 87.9	0.341	am02008	193	0	1349453824	234258	256	0.000700		11,16,17,18,19,21,22,28,30	8
